eoa,points,rank
0x5b3778bbCAe3B127e7a58F2935EC59E96ec97502,2532,316
0x3a0971F352312303ceED056b12d542b30CFE9796,2522,317
0xCC823629F6f17a4eBD890A72d930F118267f2860,2502,318
0xa56594494d2Ceb7e459CDD88dCee2FeE2b7E0D05,2484,319
0xcDd62A699e895eC5cc142c312156Cc076C9af580,2458,320
0x6EB234c8458F50B10b839246801C22A800B5540C,2440,321
0x7052E7305d42F1D25e6Dd7D39af36a86b9eFA6fe,2404,322
0xD07e20a52b71cE9c911385D04c79a2418Bf04502,2398,323
0xAfBC5BbC82A5f4be7C1de42076975CE259BDD38D,2392,324
0xd5B54e64991b6Bd2E805023e881b2526422b9239,2385,325
0x7decD291438131C2F54047fe4A6872dE93D64de6,2385,325
0x5EeDe1C45E4401d7D95E55446dAd71B511328534,2371,327
0xF10aeEd0550aE196f6546C65192A9AB66F502198,2368,328
0x99B8Df0d54dBff332621CFA42256177F84c47253,2363,329
0x018672F011331ef0A9b43B65e8207f56dA7BC16E,2360,330
0x8f678841ebd0202Bc2E5c2d25B4170B5426abfa3,2342,331
0x28ebA4d0480932aEAFFbE37f20131ef7B84BAB78,2336,332
0x0a27F53e3D044465D07607EF7A048E71809F295E,2327,333
0xfD802f63cD944c91CB59B92663Af238C69bA376c,2315,334
0x14c7f66D6077206e2273b8DFF28BCA7f74209BCD,2304,335
0x4127D8FA1867D829C48dA4AD93506fbaAc44D564,2302,336
0x22bAac1E95efC010E35D5eD643BB16c9dB254a11,2301,337
0x86658dBfAbb5Fa16Fd84a892679a03a1100bcA29,2289,338
0x1BBA15127f9FD12a20E0e8C3a1e9C88245452Ef3,2287,339
0xF2B0d6211760802547b4447163640A26A176899E,2264,340
0x6FcF2158B3907C5FE10721b93a2B555d4F8a8150,2238,341
0xeBD1ABb07FF91092BbE1FE254ad60F78D16aA66a,2222,342
0x24f1Ec21D10716B13badb2DCad117E430cCB0C89,2220,343
0x064cB0bB4c8ABE11935134aEE670C032D6833556,2215,344
0xca04C1bDe4eF2d410eeB6CB5cEF8E14916F18dab,2203,345
0xF97f261E2Fd4CB035412ABcde731d29c52DCE136,2203,345
0x6542831030b397D69Ea536CF9Be46Fffa3693932,2188,347
0x4d7cD8f4e0B60CcFa09aE648D5DbC73869185405,2183,348
0x1F27b0482ace1B82cf7A4f0c55dfc2A05dfCfD75,2170,349
0x45C3707c25eCe1e4705a5d708685f0a77Dc18cD1,2167,350
0xb6d70FEB28e47a408dC1530676d3b17b26Ba1cCB,2165,351
0x030138D2f5f2757daAe2FbB8dFd18870EA908881,2165,351
0xC1269B5614C6F5Cc50aFfA5E62d403622c6cdb3F,2148,353
0x1e843E199fa59A5A7fAca89EBd8e69BA3C9cef22,2145,354
0x9e53894756141368A8957a471289d1431AEa9445,2132,355
0x4c6e100aDad0A362f8985A929245e83a9356F80e,2130,356
0xfF0052F9Acc869203C2659A21f3eCED7E032671C,2130,356
0xBA5a92EEDE27eb056B1ed31fDdAE179bfd33Ba70,2126,358
0x9a0F62b9A86187A03f4459D3130e9792eEE8aEB9,2122,359
0xeBD5F0763D46a9e9F9c82404b6Ad3ee0788Fd662,2112,360
0xb8B47B86C1608667abbE1a642A08BFa69637ED4C,2108,361
0x4e71dc755b2f1eE69968c6013bdD69055bfE79ce,2108,361
0x9C5A5Bf1C40b50EAE0c0bdfA044427661AaC2CD0,2107,363
0xb442e7d03fC85d4d74DD13148bFB7eB898588DD6,2100,364
0xD3dbfb903ab5E3691692719ff9692b7019CA7C1F,2093,365
0x00007fCf2649756581146e40836E25e6109f9338,2077,366
0xFDdbd6838cbdc1A3317D479562Bdfcf3B9de4b53,2077,366
0x41ec28eceb137789032B2B505A57c1dA829934CD,2076,368
0xe6c0F15619037D6e5B888573B403c9c84f759Ea8,2051,369
0xc67e2b63E2baC9248b281834b78c677e8730C1d8,2049,370
0x84A6BdD0050f1EAd7a842334C8cB07253F252d6b,2044,371
0x4406C04A6CbD9f812277e0E85594d809D7454405,2043,372
0x168fc6735F2D16955ceeFe3C326B58F2b709AD4F,2033,373
0x4EF9C6f53226F291882fCF2bC6bf0bA8b64987BF,2030,374
0x407425cB78339F5cf3930e2Cb26153Dd7Fd1f739,2029,375
0x602df9493ec7e8112E08A34a5b7C372379552144,2017,376
0x1baBb042DdCCA9064eB01A054BcdbF5ceb102592,2015,377
0x5535C48511FaA34bC3666f385b9B3aB93a65f845,2007,378
0xC603483c46980ae77AD662d3f0750E23444Ad223,2005,379
0x856E695F5dFEFd5D58b7c40E916Ba87F3cDD0905,2002,380
0xfe6D99c2d17810c0829018B74d7dBe42994e778A,1988,381
0xBc16f4Eb00559Bb28949Ac89Ff61574dA87bAE2D,1985,382
0xEF1244aF7099dCE45eE7F937534f0968501efb29,1984,383
0xD407C6c9204ea4Afe302B554e0a1f220e573765D,1976,384
0xf232b14c9660Fb62DBAFed068010d772110E9Ab0,1965,385
0x018C8a81cb02cA1a327BaefD400f75f57ea57ba2,1959,386
0x966aceda1a0653856Dd91322D108F66Ee90c4875,1953,387
0xCB6222f4Df04385ea08E8DA2A5871131FF5F6cBA,1952,388
0xe3E491f32916da530451455d078C7d0b1D0574a9,1947,389
0x048398fdDa39DEB9C2544695C59A9021c5E8e40E,1944,390
0xdd150D4d2BeFbc891699A492cc3777BD4F99b5dF,1941,391
