eoa,points
0x9f0bAd8e647a2470dC2174c203135845533F610f,300
0x74f4Ae21781204bd10485fe204E1E1023933C211,300
0x93b39Db22E39b93a55549565a0C0D008A35573fa,300
0x9803C5366c5a873d7cc069AF51662A7cEde4D754,300
0x5847885789eC0932781Fcab2dd31215DF37a297E,300
0xe7cc2E1Da8A9D1F039A2B8fdf17DC364B091E020,300
0xdC102Dcf310cbF9EB601756b9e86A49cA07932cd,300
0x5Ee233c174e8E1DdD1C6594d3C5941c32EB42C22,300
0x5E2261126Ce5ff3399433d2FFD1F85E606A50302,300
0x6f83573a5c25c8714f7d3E2239af3E0eC23Dc943,300
0x407425cB78339F5cf3930e2Cb26153Dd7Fd1f739,300
0xa7F053d0a4dF46577428B84Fb3A59e98775eE698,300
0xC6289FaB72E533A25FF93dd67A2f76052449D27D,300
0x83096705B33D400eFecd638c8EdFB6D71136b71C,300
0xB771f17EE1F18059c540C4a937d04808bdF87d9E,300
0x90AAd423f94d7b00d1a8fA7Cd1d227b2192c52aa,300
0xB584e434C34a521F6C17f594C25Bd1f45DBFa387,300
0xa547a70F886E4F5c0115a4BbC79E359b8b635258,300
0x0c77204c991201F45708b0f37214cf9964c507B2,300
0x94AFfdaEa9dc8A11F12f68D23Cc4652D77c9f9d0,300
0xbdeAA3Ce160837c9089c45288CFfc93eF0f9Ffb0,300
0xcd0b67a61E5e8F4616c19e421e929813B6D947df,300
